"","Time","SSC.H","SSC.A","FSC.H","FSC.A","SSC.B.H","SSC.B.A","BV421.A","eFluor.450.A","LIVE.DEAD.Blue.A","BV480.A","BV510.A","BV570.A","Super.Bright.645.A","BV711.A","BV785.A","BB515.A","Alexa.Fluor.532.A","PerCP.A","BB700.A","PE.A","PE.Texas.Red.A","PE.Cy5.A","PE.Alexa.Fluor.700.A","PE.Cy7.A","Alexa.Fluor.647.A","Alexa.Fluor.700.A","APC.Cy7.A","FileName","Tetramer_Positive","Tetramer_Positive_AllSheet"
"1",0.0036,335379,350209.094,1597110,1772250.5,352283,431610.406,1151.43347,3879.50464,1577.92554,24533.4414,2243.8877,2840.62109,1555.2041,12576.9551,680.934448,2625.3396,10956.708,830.390991,510.479004,-202.75775,86568.3906,-669.82605,1370.698,11835.9873,-16.056946,515.345886,29451.2676,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"2",0.0036,338800,343291.656,1520173,1701008.38,267672,320883.344,1593.72168,226.345642,1890.59888,32983.1719,460.592041,32671.9746,837.796997,5364.18701,91.3825073,20358.6816,6151.48096,1467.10376,-128.07227,-480.47037,-409.0979,43.5808868,2621.104,20740.5371,2026.73621,917.715393,46763.0625,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"3",0.0149,220062,218825.094,870279,989097,170863,210449.859,1044.66211,665.120483,2387.31738,43694.0039,1006.9386,3346.94604,1123.76563,35058.6133,1613.45166,258.521851,5450.72412,1273.13135,5481.73584,-706.74597,87457.25,173.863037,5465.10596,17239.3242,521.364441,980.619812,557.068848,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"4",0.114,425756,466032.031,1385077,1496682.63,433522,503297.719,1050.04211,1139.18066,2663.64624,30321.7871,440.375244,41873.1914,1321.72412,22403.2441,792.968811,971.276245,9255.40332,1922.58936,429.103333,1378.06323,1759.09045,-33.65564,1759.3595,7153.68457,245.343842,845.861023,1319.17432,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"5",0.1925,306761,325879.188,1500957,1570543.38,310342,356804.938,1590.70215,327.498413,1844.51501,26595.7617,704.898804,960.072998,1214.13232,551.598511,588.621887,978.386963,3127.62695,3572.96533,1526.56519,2069.09863,73239.6953,1455.81567,19382.4141,15271.708,423.09198,-299.85513,84096.6172,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"6",0.2915,361547,402940.469,1492563,1575329.25,357903,426377.969,4624.97852,1183.37878,3152.02393,2369.8335,2792.52246,992.050781,1304.18811,68.3378906,1122.04016,2509.66943,23792.0371,-303.49463,-74.608063,1300.13928,1020.5863,445.999451,547.810425,3518.40503,134.073135,1588.01672,451.242615,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"7",0.3012,236248,250911.313,1510269,1590846.63,290883,336192.063,666.849609,1624.13013,2747.49609,13799.874,2987.21045,24239.377,1157.401,11730.1133,1471.48877,4551.396,6421.19336,289.545441,-131.87796,1166.39893,423.391296,359.77182,595.044556,9034.81836,638.320068,418.929901,71871.1406,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"8",0.33449998,403482,439578.875,1672377,1723931.75,444542,522341.375,1228.47083,1662.11499,2496.33643,46202.9492,-230.97412,2257.70776,1179.28857,47791.6836,2142.42188,6927.94678,4182.42285,3857.88867,-2256.3943,448.858643,100573.055,2355.01587,10076.998,27678.7832,383.663757,-189.54593,70077.0391,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"9",0.37829998,317748,318117.75,1299977,1353561.63,265797,293312.563,1350.03784,1272.54919,1691.18384,25035.373,-285.18066,2875.62622,2230.42114,15827.4082,270.022705,-73.57312,4438.29443,1400.69165,-610.15839,-86.14225,81503.5547,826.28241,5359.75049,5816.67236,84.186203,498.070831,18153.4492,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"10",0.39609998,156700,162151.188,1404892,1480836.63,230386,254168.203,1006.69373,1322.63623,1867.26416,18338.0801,660.147217,1313.10095,784.329163,5067.15967,-1152.4214,571.793213,7158.22412,-594.28082,-1170.3337,1737.19324,71008.3984,1721.76953,1705.56567,24862.0684,1426.4043,83.2472916,115322.844,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"11",0.4052,362542,381505.594,1374299,1456018.88,336396,401445.313,1400.67981,1920.89844,2313.50635,40389.6367,3271.50854,2993.49683,2430.3562,14915.6953,-159.41644,1484.89136,4071.09033,7147.46045,5397.58936,1599.92957,92843.8828,637.817993,1209.41309,30753.1816,90.9230881,653.876099,21.4975586,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"12",0.49829999,282363,278003.625,1157914,1219917.38,244173,277886.438,1965.72095,1446.51074,1108.40845,19456.5391,-379.87695,3613.55566,1008.46106,6180.46826,-157.87598,3368.78516,3918.50146,307.379181,622.205078,-610.9043,59059.4102,-491.48901,327.998627,4277.37988,889.337952,227.145691,36519.0664,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"13",0.50519997,426378,469583.094,1510435,1553147,369915,450399.656,2073.49146,956.85968,2936.65259,2879.38721,1741.08716,45441.4648,695.005432,1260.53259,658.181091,930.030884,9138.94238,335.554504,-462.09344,-800.12634,-223.10597,290.190094,624.424622,24498.0605,342.069702,651.345886,1330.3833,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
