"","Time","SSC.H","SSC.A","FSC.H","FSC.A","SSC.B.H","SSC.B.A","LIVE.DEAD.Blue.A","BV421.A","eFluor.450.A","BV480.A","BV510.A","BV570.A","Super.Bright.645.A","BV711.A","BV785.A","BB515.A","Alexa.Fluor.532.A","PerCP.A","BB700.A","PE.A","PE.Texas.Red.A","PE.Cy5.A","PE.Alexa.Fluor.700.A","PE.Cy7.A","Alexa.Fluor.647.A","Alexa.Fluor.700.A","APC.Cy7.A","UV.A","Violet.A","Blue.A","YellowGreen.A","Red.A","UV...Violet...Blue...YellowGreen...Red.A","FileName","Tetramer_Positive","Tetramer_Positive_AllSheet"
"1",0.0169,876074,1083288.5,1166420,1527257.25,538123,706745.75,2673.22534,1680.7395,1620.15259,1170.12866,-159.5968,43662.6055,1080.53955,-470.18118,6449.27344,317.243286,13050.7324,265.428497,218.803268,-2524.7039,492.257935,1619.21704,195.103241,-38.223129,221.294769,654.385925,153.35318,"(14.09, 239.74, 1467.75, 1892.41, 2428.7, 3265.21, 3613.31, 3028.35, 10871.08, 4000.19, 1242.15, 721.24, 192.47, 421.4, 1124.63, 875.28)","(7588.92, 6882.18, 8269.67, 4049.88, 2394.89, 1525.1, 3744.75, 43455.48, 25961.24, 25419.23, 8375.72, 3976, 2149.24, 3130.27, 7279.18, 3636.22)","(1022.98, 2695.1, 12648.75, 11524.57, 8287.55, 5291.11, 2146.25, 846.89, 853.51, 652.57, 306.65, 658.82, 100.5, 1061.05)","(21705.51, 9866.75, 8865.92, 3844.41, 2460.47, 2127.78, 1451.74, 646.18, 352.21, 41.14)","(230.16, 45.61, 143.75, 579.05, 530.66, 178.17, 1050.45, 243.27)","(14.09, 239.74, 1467.75, 1892.41, 2428.7, 3265.21, 3613.31, 3028.35, 10871.08, 4000.19, 1242.15, 721.24, 192.47, 421.4, 1124.63, 875.28, 7588.92, 6882.18, 8269.67, 4049.88, 2394.89, 1525.1, 3744.75, 43455.48, 25961.24, 25419.23, 8375.72, 3976, 2149.24, 3130.27, 7279.18, 3636.22, 1022.98, 2695.1, 12648.75, 11524.57, 8287.55, 5291.11, 2146.25, 846.89, 853.51, 652.57, 306.65, 658.82, 100.5, 1061.05, 21705.51, 9866.75, 8865.92, 3844.41, 2460.47, 2127.78, 1451.74, 646.18, 352.21, 41.14, 230.16, 45.61, 143.75, 579.05, 530.66, 178.17, 1050.45, 243.27)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP18_CD3+.csv",NA,NA
"2",0.07889999,672605,807538.375,1071405,1488335.38,368091,486878.094,1351.05859,1109.63098,3395.83057,14715.3584,1815.18811,134.731323,2995.76367,7214.93896,1150.90955,2501.83936,5665.66846,-375.87744,1146.92456,2424.66284,53206.957,1799.83521,-1232.4149,13774.5889,538.535339,534.910889,25691.3945,"(-105.76, 115.15, 794.48, 910.53, 1504.95, 3759.38, 6798.33, 3681.96, 3172.06, 3596.63, 1422.02, 1473.71, 1552.12, 1474.56, 2824.2, 1724)","(2141.88, 4239.11, 8153.48, 16381, 17631.59, 13433.79, 14526.87, 8962.94, 7338.82, 13729.17, 5971.38, 5653.35, 10122.47, 7865.9, 11606.42, 5107.61)","(4071.24, 5272.4, 7526.3, 10852.04, 14591.09, 29602.26, 12933.34, 9812.63, 8830.37, 4210.53, 3419.21, 5929.29, 8320.84, 9059.76)","(15288.99, 25007.15, 52682.77, 24176.09, 16588.28, 12245.87, 11098.47, 8118.67, 22999.49, 11539.44)","(1073.68, 1639.45, 2334.43, 3047.75, 4172.23, 13633.63, 28093.82, 13563.62)","(-105.76, 115.15, 794.48, 910.53, 1504.95, 3759.38, 6798.33, 3681.96, 3172.06, 3596.63, 1422.02, 1473.71, 1552.12, 1474.56, 2824.2, 1724, 2141.88, 4239.11, 8153.48, 16381, 17631.59, 13433.79, 14526.87, 8962.94, 7338.82, 13729.17, 5971.38, 5653.35, 10122.47, 7865.9, 11606.42, 5107.61, 4071.24, 5272.4, 7526.3, 10852.04, 14591.09, 29602.26, 12933.34, 9812.63, 8830.37, 4210.53, 3419.21, 5929.29, 8320.84, 9059.76, 15288.99, 25007.15, 52682.77, 24176.09, 16588.28, 12245.87, 11098.47, 8118.67, 22999.49, 11539.44, 1073.68, 1639.45, 2334.43, 3047.75, 4172.23, 13633.63, 28093.82, 13563.62)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP18_CD3+.csv",NA,NA
"3",0.09,494727,601305.625,1307942,1612934.38,299669,380322.094,1452.39514,830.634094,2714.19067,10219.1787,-302.64905,1247.87158,1406.26379,5854.03418,-349.30685,3753.0083,6632.23584,423.670135,625.583862,499.143036,32981.7305,1838.49182,2274.95435,5040.93555,-184.80084,346.712341,40332.9766,"(-83.33, 303.25, 468.77, 757.33, 1659.73, 2911.18, 4522.25, 2407.75, 2722.85, 2151.86, 781.71, 960.69, 1394.97, 1305.86, 3106.69, 1816.83)","(1638.74, 2319, 5890.02, 11223.37, 10334.1, 8194.41, 8295.95, 5426.2, 4584.18, 8007.87, 3056.46, 3879.52, 7252.63, 5931.12, 9133.73, 4426.89)","(4205.37, 6302.92, 8400.66, 10209.96, 10541.38, 19252.45, 8628.15, 6122.39, 6310.83, 3037.7, 1980.08, 3645.59, 4482.82, 4365.9)","(12677.77, 15734.49, 33909.61, 14682.32, 11424.46, 9041.5, 9858.04, 6810.77, 15970.32, 10368.24)","(1044.43, 1217.25, 1751.4, 2423.5, 4622.58, 18598.03, 41601.4, 20064.48)","(-83.33, 303.25, 468.77, 757.33, 1659.73, 2911.18, 4522.25, 2407.75, 2722.85, 2151.86, 781.71, 960.69, 1394.97, 1305.86, 3106.69, 1816.83, 1638.74, 2319, 5890.02, 11223.37, 10334.1, 8194.41, 8295.95, 5426.2, 4584.18, 8007.87, 3056.46, 3879.52, 7252.63, 5931.12, 9133.73, 4426.89, 4205.37, 6302.92, 8400.66, 10209.96, 10541.38, 19252.45, 8628.15, 6122.39, 6310.83, 3037.7, 1980.08, 3645.59, 4482.82, 4365.9, 12677.77, 15734.49, 33909.61, 14682.32, 11424.46, 9041.5, 9858.04, 6810.77, 15970.32, 10368.24, 1044.43, 1217.25, 1751.4, 2423.5, 4622.58, 18598.03, 41601.4, 20064.48)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP18_CD3+.csv",NA,NA
"4",0.1121,423707,486446.219,1178473,1467431.38,317374,390020.875,1363.01636,1508.39246,1132.38721,9847.50391,1130.78394,1194.56519,684.54895,5350.33008,131.06073,3056.01782,12564.1123,520.934631,844.989746,0.93062133,29257.0586,1930.09277,142.142853,6225.5376,-36.889061,194.013733,17851.2168,"(81.52, 154.86, 587.01, 515.03, 1467.77, 3196.81, 4970.43, 3701.1, 2225.95, 2310.72, 750.12, 1056.9, 563.85, 1091.06, 2253.75, 1233.11)","(1780.84, 2671.94, 4181.04, 10395.49, 11093.27, 8657.11, 9107.38, 5829.97, 4495.9, 6796.79, 2915.83, 2961.58, 6181.57, 5075.12, 5866.95, 3365.19)","(3936.62, 5508.23, 14229.73, 11303.63, 11332.59, 18077.14, 7736.97, 5757.58, 5373.17, 2655.65, 1852.6, 2958.7, 4964.02, 4066.01)","(9445.18, 13577.46, 29502.76, 12640.14, 9742.39, 8027.99, 6665.66, 4578.51, 12044.78, 5866.23)","(660.89, 410.36, 1712.58, 1761.6, 2367.56, 9380.25, 18689.42, 9521)","(81.52, 154.86, 587.01, 515.03, 1467.77, 3196.81, 4970.43, 3701.1, 2225.95, 2310.72, 750.12, 1056.9, 563.85, 1091.06, 2253.75, 1233.11, 1780.84, 2671.94, 4181.04, 10395.49, 11093.27, 8657.11, 9107.38, 5829.97, 4495.9, 6796.79, 2915.83, 2961.58, 6181.57, 5075.12, 5866.95, 3365.19, 3936.62, 5508.23, 14229.73, 11303.63, 11332.59, 18077.14, 7736.97, 5757.58, 5373.17, 2655.65, 1852.6, 2958.7, 4964.02, 4066.01, 9445.18, 13577.46, 29502.76, 12640.14, 9742.39, 8027.99, 6665.66, 4578.51, 12044.78, 5866.23, 660.89, 410.36, 1712.58, 1761.6, 2367.56, 9380.25, 18689.42, 9521)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP18_CD3+.csv",NA,NA
"5",0.15549999,436680,480249.813,1238711,1479125.75,273448,314933.25,1649.62939,292.030029,437.019714,11262.4141,796.047668,1653.17688,1101.33374,2634.83789,203.384277,5420.18994,7468.42676,85.29776,314.790283,-1546.2867,31728.541,1362.77075,702.850769,2846.72803,421.41806,145.494263,5803.43994,"(-103.56, -23.12, 744.58, 1220.32, 1160.79, 2499.05, 4721.59, 2629.18, 2413.76, 2608.31, 347.76, 457.01, 773.15, 494.67, 1344.33, 367.9)","(352.51, 495.71, 2646.81, 11260, 11291.55, 9151.48, 9920.71, 5889.46, 5169.48, 7933.77, 2823.25, 1755.24, 3731.02, 2234.27, 2768.5, 1646.98)","(6252.52, 6559.89, 10316.25, 7671.86, 10420.79, 18186.08, 7120.45, 5811.75, 4832.11, 2274.7, 1310.5, 1701.87, 2342.02, 2237.94)","(8688.93, 15043.68, 31088.05, 13960.05, 9205.04, 6757.51, 6818.1, 3632.57, 5708.7, 3431.47)","(302.67, 439.54, 821.14, 1047.51, 1037.8, 2673.6, 6567.96, 2959.21)","(-103.56, -23.12, 744.58, 1220.32, 1160.79, 2499.05, 4721.59, 2629.18, 2413.76, 2608.31, 347.76, 457.01, 773.15, 494.67, 1344.33, 367.9, 352.51, 495.71, 2646.81, 11260, 11291.55, 9151.48, 9920.71, 5889.46, 5169.48, 7933.77, 2823.25, 1755.24, 3731.02, 2234.27, 2768.5, 1646.98, 6252.52, 6559.89, 10316.25, 7671.86, 10420.79, 18186.08, 7120.45, 5811.75, 4832.11, 2274.7, 1310.5, 1701.87, 2342.02, 2237.94, 8688.93, 15043.68, 31088.05, 13960.05, 9205.04, 6757.51, 6818.1, 3632.57, 5708.7, 3431.47, 302.67, 439.54, 821.14, 1047.51, 1037.8, 2673.6, 6567.96, 2959.21)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP18_CD3+.csv",NA,NA
"6",0.16409999,630980,766809,701405,917281,423098,532149.438,3335.62256,2317.62109,654.201477,2501.12329,-818.31433,88949.2813,-574.96814,602.569763,9393.49512,436.809387,16829.0215,1731.72229,2404.44043,-7584.8135,248.201111,640.84021,1877.25476,409.243652,206.602264,939.108704,679.432495,"(448.34, 349.95, 1824.89, 2737.76, 3318.21, 4168.42, 3996.34, 3656.26, 19485.96, 7291.82, 2182.1, 905.13, 635.9, 1145.22, 1809.72, 1029.73)","(13234.49, 12548.43, 13114.48, 6503.12, 4489.67, 2817.02, 5938.47, 88922.82, 51168.65, 50211.79, 15964.44, 8270.17, 6097.25, 6855.56, 11952.4, 6004.77)","(1076.2, 3446.47, 15921.91, 17358.77, 11717.09, 8112.09, 3077.7, 3170.38, 3325.79, 2761.84, 1416.16, 1698.59, 1083.15, 1326.36)","(42971.86, 19876.36, 16292.01, 6653.87, 5192.52, 4014.94, 4278.7, 1666.28, 1720.62, 978.78)","(225.45, 503.2, 1161.33, 2149.26, 1040.37, 1466.85, 2119.13, 774.92)","(448.34, 349.95, 1824.89, 2737.76, 3318.21, 4168.42, 3996.34, 3656.26, 19485.96, 7291.82, 2182.1, 905.13, 635.9, 1145.22, 1809.72, 1029.73, 13234.49, 12548.43, 13114.48, 6503.12, 4489.67, 2817.02, 5938.47, 88922.82, 51168.65, 50211.79, 15964.44, 8270.17, 6097.25, 6855.56, 11952.4, 6004.77, 1076.2, 3446.47, 15921.91, 17358.77, 11717.09, 8112.09, 3077.7, 3170.38, 3325.79, 2761.84, 1416.16, 1698.59, 1083.15, 1326.36, 42971.86, 19876.36, 16292.01, 6653.87, 5192.52, 4014.94, 4278.7, 1666.28, 1720.62, 978.78, 225.45, 503.2, 1161.33, 2149.26, 1040.37, 1466.85, 2119.13, 774.92)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP18_CD3+.csv",NA,NA
"7",0.1646,915428,1071566.38,963154,1256681.25,449620,582204.563,2853.79614,1230.96265,497.387268,1771.05957,167.814941,8844.93652,873.00177,1138.72144,1239.22864,2717.20923,6931.26953,3398.02344,4635.80176,21.093771,43678.1328,1757.84009,-129.1386,20550.252,-321.78983,219.198303,125.600929,"(57.65, 860.08, 1008.24, 1509.72, 1462.04, 3565.79, 4803.78, 2372.67, 3935.78, 2976.93, 1664.36, 1293.82, 986.56, 1234.67, 1754.61, 321.87)","(2351.12, 1961.71, 2195.74, 2587.18, 1678.81, 1395.12, 1843.49, 10192.38, 6823.02, 12605.49, 5919.17, 5346.34, 5039.16, 4124.39, 6214.23, 2365.85)","(2916.36, 4193.31, 7434.79, 10252.34, 13701.26, 25289.81, 11354.03, 13178.06, 11838.32, 5627.12, 3912.6, 9438.75, 12654.84, 10201.49)","(16182.37, 23550.68, 44172.66, 18802.69, 17134.15, 11534.88, 10195.27, 8972.92, 23702.92, 11467.31)","(554.91, 1572.27, 1862.33, 2125.95, 974.35, 1729.19, 2736.25, 1353.06)","(57.65, 860.08, 1008.24, 1509.72, 1462.04, 3565.79, 4803.78, 2372.67, 3935.78, 2976.93, 1664.36, 1293.82, 986.56, 1234.67, 1754.61, 321.87, 2351.12, 1961.71, 2195.74, 2587.18, 1678.81, 1395.12, 1843.49, 10192.38, 6823.02, 12605.49, 5919.17, 5346.34, 5039.16, 4124.39, 6214.23, 2365.85, 2916.36, 4193.31, 7434.79, 10252.34, 13701.26, 25289.81, 11354.03, 13178.06, 11838.32, 5627.12, 3912.6, 9438.75, 12654.84, 10201.49, 16182.37, 23550.68, 44172.66, 18802.69, 17134.15, 11534.88, 10195.27, 8972.92, 23702.92, 11467.31, 554.91, 1572.27, 1862.33, 2125.95, 974.35, 1729.19, 2736.25, 1353.06)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP18_CD3+.csv",NA,NA
"8",0.38169998,371385,416423.063,977611,1103683.88,293218,332344.875,862.138184,-25.604553,1894.86536,5397.46045,404.710449,2143.11353,1579.28833,1923.58887,770.797119,2946.29785,4252.18311,1091.31018,645.630005,-596.59906,20947.8223,1550.94324,1283.349,5778.72607,102.990311,1276.0896,2364.24292,"(-131.06, 416.8, 29.84, 618.5, 914.61, 1373.98, 2234.76, 1608.27, 1517.29, 1267.18, 186.12, 336.7, 192.69, 548.6, 39.3, 664.34)","(388.45, 1297.57, 2328.86, 5384.85, 6148.92, 4466.28, 4928.13, 4369.34, 3406.38, 6049.63, 2789.9, 2344.06, 3357.29, 2927.08, 3413.22, 1716.8)","(3845.82, 3436.61, 5507.54, 5841.59, 6916.55, 12685.41, 5316.38, 5011.96, 4189.69, 2548.91, 1021.45, 2310.82, 4453.12, 3258.53)","(7543.65, 9423.07, 21072.73, 9735.07, 7457.68, 5697.2, 6030.38, 3794.96, 7532.72, 4616.58)","(100.42, 591.11, 972.49, 1787.94, 2090.17, 2168.77, 3645, 1832.68)","(-131.06, 416.8, 29.84, 618.5, 914.61, 1373.98, 2234.76, 1608.27, 1517.29, 1267.18, 186.12, 336.7, 192.69, 548.6, 39.3, 664.34, 388.45, 1297.57, 2328.86, 5384.85, 6148.92, 4466.28, 4928.13, 4369.34, 3406.38, 6049.63, 2789.9, 2344.06, 3357.29, 2927.08, 3413.22, 1716.8, 3845.82, 3436.61, 5507.54, 5841.59, 6916.55, 12685.41, 5316.38, 5011.96, 4189.69, 2548.91, 1021.45, 2310.82, 4453.12, 3258.53, 7543.65, 9423.07, 21072.73, 9735.07, 7457.68, 5697.2, 6030.38, 3794.96, 7532.72, 4616.58, 100.42, 591.11, 972.49, 1787.94, 2090.17, 2168.77, 3645, 1832.68)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP18_CD3+.csv",NA,NA
"9",0.5104,722241,832910.188,1365502,1778404.88,541337,666310.938,4458.18555,2530.02686,1161.59839,434.034912,428.00708,39522.6406,817.277649,631.734619,3256.44946,2177.54492,13346.8721,67.3904114,1492.02917,1409.8728,399.882874,2649.8479,-600.11511,961.245789,124.99881,485.461395,135.559479,"(-79.02, 323.71, 1887.09, 3090.95, 4039.01, 5397.68, 5507.61, 4148.69, 10852.23, 4107.3, 1823.68, 687.78, 703.93, 902.41, 790.07, 695.11)","(7611.67, 7878.03, 7198.78, 3271.53, 2451.02, 1615.53, 3190.56, 39582.92, 23643.75, 23024.36, 7874.43, 4126.67, 3622.62, 2568.63, 4712.23, 2650.43)","(2671.15, 4259.28, 14632.06, 11972.66, 8242.29, 5551.83, 2180.87, 1974.59, 2679.41, 1327.24, 835.73, 1217.68, 933.88, 446.76)","(22699.88, 10859.41, 8365.56, 5010.2, 2908.86, 1371.39, 1497.79, 759.25, 1318.77, 1166.07)","(290.22, 529.42, 617.94, 1094.12, 698.22, 858.39, 663.1, 453.57)","(-79.02, 323.71, 1887.09, 3090.95, 4039.01, 5397.68, 5507.61, 4148.69, 10852.23, 4107.3, 1823.68, 687.78, 703.93, 902.41, 790.07, 695.11, 7611.67, 7878.03, 7198.78, 3271.53, 2451.02, 1615.53, 3190.56, 39582.92, 23643.75, 23024.36, 7874.43, 4126.67, 3622.62, 2568.63, 4712.23, 2650.43, 2671.15, 4259.28, 14632.06, 11972.66, 8242.29, 5551.83, 2180.87, 1974.59, 2679.41, 1327.24, 835.73, 1217.68, 933.88, 446.76, 22699.88, 10859.41, 8365.56, 5010.2, 2908.86, 1371.39, 1497.79, 759.25, 1318.77, 1166.07, 290.22, 529.42, 617.94, 1094.12, 698.22, 858.39, 663.1, 453.57)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP18_CD3+.csv",NA,NA
"10",0.54369998,448166,508884.063,1217999,1629287.38,376380,442616.031,3267.20947,4680.62695,-1902.6204,27559.627,-1599.7538,2689.76172,64.7611084,332.386047,199.149506,17200.3066,5206.96387,772.385864,1705.29932,1451.67639,3.67362976,1434.63599,1198.54529,4232.49072,281.106384,449.904755,887.347656,"(273.41, 703.09, 1482.79, 2726.03, 2805.48, 6230.39, 8842.02, 4283.95, 3204.47, 1202.79, 92.6, -62.01, 195.82, 317.53, 550.53, 398.13)","(4590.5, 2409.08, 9007.37, 27389.29, 25971.78, 20884.23, 20620.45, 10419.36, 6512.33, 4889.11, 1199.95, 957.16, 1125.39, 662.74, 976.49, 712.77)","(19442.29, 15819.1, 14086.41, 6229.33, 4049.24, 2522.7, 1147.98, 882.29, 2018.52, 802.89, 779.81, 1719.15, 2876.42, 2184.66)","(4019.86, 1717.3, 573.86, 130.69, 558.85, 69.75, 862.84, 1791.95, 4317.82, 2355.93)","(57.95, 547.68, 828.04, 1038.19, 677, 756.48, 1628.27, 721.37)","(273.41, 703.09, 1482.79, 2726.03, 2805.48, 6230.39, 8842.02, 4283.95, 3204.47, 1202.79, 92.6, -62.01, 195.82, 317.53, 550.53, 398.13, 4590.5, 2409.08, 9007.37, 27389.29, 25971.78, 20884.23, 20620.45, 10419.36, 6512.33, 4889.11, 1199.95, 957.16, 1125.39, 662.74, 976.49, 712.77, 19442.29, 15819.1, 14086.41, 6229.33, 4049.24, 2522.7, 1147.98, 882.29, 2018.52, 802.89, 779.81, 1719.15, 2876.42, 2184.66, 4019.86, 1717.3, 573.86, 130.69, 558.85, 69.75, 862.84, 1791.95, 4317.82, 2355.93, 57.95, 547.68, 828.04, 1038.19, 677, 756.48, 1628.27, 721.37)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP18_CD3+.csv",NA,NA
