"","Time","SSC.H","SSC.A","FSC.H","FSC.A","SSC.B.H","SSC.B.A","LIVE.DEAD.Blue.A","BV421.A","eFluor.450.A","BV480.A","BV510.A","BV570.A","Super.Bright.645.A","BV711.A","BV785.A","BB515.A","Alexa.Fluor.532.A","PerCP.A","BB700.A","PE.A","PE.Texas.Red.A","PE.Cy5.A","PE.Alexa.Fluor.700.A","PE.Cy7.A","Alexa.Fluor.647.A","Alexa.Fluor.700.A","APC.Cy7.A","UV.A","Violet.A","Blue.A","YellowGreen.A","Red.A","UV...Violet...Blue...YellowGreen...Red.A","FileName","Tetramer_Positive","Tetramer_Positive_AllSheet"
"1",0.20799999,426177,470113.688,976464,1163831.88,215963,251946.891,840.73822,1764.00732,1829.75,9680.19434,273.667725,766.541321,360.836304,2275.06396,713.655884,2346.09619,7958.89697,48.1186218,864.86145,1972.47766,34247.6367,2781.03662,11.8856964,4467.18164,-23.198235,68.9518661,5202.06934,"(416.44, 304.92, 309.15, 713.32, 1008.96, 2521.52, 5022.57, 3245.35, 2655.85, 2552.56, 800.86, 388.47, 710.86, 962.86, 765.29, 453.56)","(2188.19, 2619.38, 5152.74, 10429.29, 10547.08, 8244.91, 7723.83, 4405.25, 4109.07, 7015.97, 2420.49, 1710.19, 2786.31, 2516.29, 2996.76, 1555.14)","(3198.68, 3941.74, 9574.43, 9205.5, 11118.96, 18807.99, 8099.68, 6965.54, 5938.59, 3006.08, 1455.35, 2396.27, 3335.24, 2845.63)","(12194.58, 15412.51, 35153.23, 15712.34, 10932.3, 8521.59, 7240.99, 4391.69, 7324.66, 4385.94)","(222.85, 328.86, 999.94, 464.78, 1215.57, 2931.32, 5804.21, 2892.08)","(416.44, 304.92, 309.15, 713.32, 1008.96, 2521.52, 5022.57, 3245.35, 2655.85, 2552.56, 800.86, 388.47, 710.86, 962.86, 765.29, 453.56, 2188.19, 2619.38, 5152.74, 10429.29, 10547.08, 8244.91, 7723.83, 4405.25, 4109.07, 7015.97, 2420.49, 1710.19, 2786.31, 2516.29, 2996.76, 1555.14, 3198.68, 3941.74, 9574.43, 9205.5, 11118.96, 18807.99, 8099.68, 6965.54, 5938.59, 3006.08, 1455.35, 2396.27, 3335.24, 2845.63, 12194.58, 15412.51, 35153.23, 15712.34, 10932.3, 8521.59, 7240.99, 4391.69, 7324.66, 4385.94, 222.85, 328.86, 999.94, 464.78, 1215.57, 2931.32, 5804.21, 2892.08)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_12-20_CD3+.csv",NA,NA
"2",0.22489999,379314,437110.469,1382937,1779131.13,291468,351781.156,1759.99597,738.896973,1757.71655,13875.6182,-2018.0929,2164.1582,1101.40369,8847.12891,1034.8573,1062.79077,7339.23486,679.759338,185.191284,-123.72157,43114.1719,1926.82324,1207.62781,6431.48975,83.4862595,165.424988,14864.1729,"(301.74, 368.2, 802.98, 1305.49, 1432.68, 3635.28, 5410.79, 3181.23, 2573.89, 2718.66, 798.55, 432.76, 1036.71, 1729.57, 2196.28, 789.4)","(1842.41, 2603.29, 5366.43, 14960.29, 11970.1, 9602.46, 10011.02, 6072.27, 5462.17, 10099.82, 3585.56, 4741.87, 10258.59, 6994.2, 8714.6, 4345.65)","(2630.53, 3148.8, 8700.93, 9427.32, 13035.44, 23899.81, 9879.62, 7678.07, 7590.34, 3806.92, 1824.32, 3724.63, 4626.92, 4126.9)","(14358.06, 21028.07, 43319.22, 18512.79, 15052.78, 10951.89, 10877, 6685.75, 13225.7, 6132.42)","(552.45, 1088.03, 1179.86, 3149.38, 2856.97, 8048.63, 16647.92, 7751.57)","(301.74, 368.2, 802.98, 1305.49, 1432.68, 3635.28, 5410.79, 3181.23, 2573.89, 2718.66, 798.55, 432.76, 1036.71, 1729.57, 2196.28, 789.4, 1842.41, 2603.29, 5366.43, 14960.29, 11970.1, 9602.46, 10011.02, 6072.27, 5462.17, 10099.82, 3585.56, 4741.87, 10258.59, 6994.2, 8714.6, 4345.65, 2630.53, 3148.8, 8700.93, 9427.32, 13035.44, 23899.81, 9879.62, 7678.07, 7590.34, 3806.92, 1824.32, 3724.63, 4626.92, 4126.9, 14358.06, 21028.07, 43319.22, 18512.79, 15052.78, 10951.89, 10877, 6685.75, 13225.7, 6132.42, 552.45, 1088.03, 1179.86, 3149.38, 2856.97, 8048.63, 16647.92, 7751.57)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_12-20_CD3+.csv",NA,NA
"3",0.23539999,385056,446311.75,1019775,1265044.25,229858,277966.063,1955.48987,210.910706,3532.42725,5752.18164,252.372925,60306.6289,2193.99731,5801.27539,-461.23569,276.884277,4045.63965,97.7627487,208.957123,1324.99976,-754.52771,1930.67993,375.127747,5046.50342,825.455322,-24.798622,69263.1406,"(-191.82, 12.02, 634.85, 1528.26, 2074.15, 3309.45, 4100.32, 2814.69, 14025.14, 5281.86, 1983.62, 1590.17, 1119.42, 2203.98, 4404.42, 3118.95)","(7648.09, 9977.6, 10592.18, 9172.08, 8292.88, 5937.12, 7867.56, 61586.07, 38778.14, 36816.83, 12831.5, 7444.59, 9778.53, 8821.84, 14089.99, 6691.33)","(1107, 1963.52, 5090.09, 9233.41, 4689.96, 4167.9, 2218.55, 882.45, 1871.73, 1108.56, 399.36, 2445.92, 3966.59, 3551.83)","(33824.43, 14090.11, 11843.72, 6331.25, 4171.04, 2584.61, 3747.94, 6440.7, 22127.29, 11809.73)","(3111.55, 2435.7, 2387.67, 2960.81, 6052.81, 31656.52, 70930.7, 32239.89)","(-191.82, 12.02, 634.85, 1528.26, 2074.15, 3309.45, 4100.32, 2814.69, 14025.14, 5281.86, 1983.62, 1590.17, 1119.42, 2203.98, 4404.42, 3118.95, 7648.09, 9977.6, 10592.18, 9172.08, 8292.88, 5937.12, 7867.56, 61586.07, 38778.14, 36816.83, 12831.5, 7444.59, 9778.53, 8821.84, 14089.99, 6691.33, 1107, 1963.52, 5090.09, 9233.41, 4689.96, 4167.9, 2218.55, 882.45, 1871.73, 1108.56, 399.36, 2445.92, 3966.59, 3551.83, 33824.43, 14090.11, 11843.72, 6331.25, 4171.04, 2584.61, 3747.94, 6440.7, 22127.29, 11809.73, 3111.55, 2435.7, 2387.67, 2960.81, 6052.81, 31656.52, 70930.7, 32239.89)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_12-20_CD3+.csv",NA,NA
"4",0.24929999,552436,633631.125,919246,1203416.5,276891,336997.313,1543.97217,-428.59308,1981.08179,24861.6152,-1274.1488,2187.44971,777.146362,4054.71729,257.89151,-495.91309,4662.70947,6226.19824,582.289307,3204.71094,44348.4258,2492.72266,2648.27905,11297.1123,-83.059868,369.473358,16486.5449,"(-21.21, 368.43, 859.55, 1202.41, 1300.61, 5027.31, 8698.62, 4513.31, 3910.42, 2333, 1831.25, 2324.61, 1060.41, 2127.57, 2239.16, 1337.7)","(416.49, 970.07, 7685.06, 25243.72, 23469.42, 19205.91, 18745.12, 11230.13, 8580.96, 11867.2, 6174.5, 6068.98, 6320.03, 5328.96, 6798.69, 3264.55)","(1331.94, 2074, 5855.93, 10137.77, 12525.31, 23902.45, 10962.49, 14673.92, 10008.93, 4951.19, 3451.57, 5635.31, 8383.87, 7154.7)","(19666.65, 23002.6, 46112.99, 21437.87, 20249.84, 14522.49, 13761.76, 10241.71, 17939.15, 10501.53)","(793.59, 2676.94, 1850.14, 2385.15, 2908.17, 8775.42, 18640.78, 8007.7)","(-21.21, 368.43, 859.55, 1202.41, 1300.61, 5027.31, 8698.62, 4513.31, 3910.42, 2333, 1831.25, 2324.61, 1060.41, 2127.57, 2239.16, 1337.7, 416.49, 970.07, 7685.06, 25243.72, 23469.42, 19205.91, 18745.12, 11230.13, 8580.96, 11867.2, 6174.5, 6068.98, 6320.03, 5328.96, 6798.69, 3264.55, 1331.94, 2074, 5855.93, 10137.77, 12525.31, 23902.45, 10962.49, 14673.92, 10008.93, 4951.19, 3451.57, 5635.31, 8383.87, 7154.7, 19666.65, 23002.6, 46112.99, 21437.87, 20249.84, 14522.49, 13761.76, 10241.71, 17939.15, 10501.53, 793.59, 2676.94, 1850.14, 2385.15, 2908.17, 8775.42, 18640.78, 8007.7)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_12-20_CD3+.csv",NA,NA
"5",0.25389999,904424,979469.813,984514,1335201.88,514765,605635.875,1519.87524,1077.15588,3283.29346,16362.0723,194.362183,-727.48816,3205.68652,4170.05029,-350.44321,542.020874,5396.82178,1753.23474,2462.48267,2311.94092,68698.2422,2720.18799,9317.58008,14984.0117,473.515991,-270.99146,11865.8018,"(-206.97, 422.97, 418.88, 1516.6, 2232.56, 4289.19, 7340.11, 3908.27, 3976.18, 4433.66, 1952.5, 2207.04, 1860.61, 2266.81, 2340.64, 3245.76)","(1975.72, 3595.42, 7956.94, 18017.51, 17459.12, 13937.12, 14601.37, 9406.88, 9332.78, 16295.37, 7101.16, 7174.84, 8540.08, 7286.47, 7369.99, 3384.78)","(2911.41, 3383.6, 6934.17, 17671.3, 20985.23, 38521.7, 17259.91, 16571.97, 15513.11, 9252.5, 6446.92, 8915.33, 10702.83, 10393.88)","(31957.57, 35097.91, 71739.43, 33792.61, 25198.58, 19534.1, 24351.99, 13650.35, 24916.97, 11991.82)","(861.87, 2378.1, 2796.56, 3312.74, 2466.32, 7577.51, 14335.14, 6605.64)","(-206.97, 422.97, 418.88, 1516.6, 2232.56, 4289.19, 7340.11, 3908.27, 3976.18, 4433.66, 1952.5, 2207.04, 1860.61, 2266.81, 2340.64, 3245.76, 1975.72, 3595.42, 7956.94, 18017.51, 17459.12, 13937.12, 14601.37, 9406.88, 9332.78, 16295.37, 7101.16, 7174.84, 8540.08, 7286.47, 7369.99, 3384.78, 2911.41, 3383.6, 6934.17, 17671.3, 20985.23, 38521.7, 17259.91, 16571.97, 15513.11, 9252.5, 6446.92, 8915.33, 10702.83, 10393.88, 31957.57, 35097.91, 71739.43, 33792.61, 25198.58, 19534.1, 24351.99, 13650.35, 24916.97, 11991.82, 861.87, 2378.1, 2796.56, 3312.74, 2466.32, 7577.51, 14335.14, 6605.64)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_12-20_CD3+.csv",NA,NA
"6",0.49199998,631363,721583.563,1136711,1508233.63,317568,392408.094,1550.73047,474.496216,1960.90588,27560.1719,85.2414551,1167.57642,1388.31042,9553.75098,365.930328,900.403625,4241.87744,8617.08301,1557.67554,197.538574,67936.125,2626.38574,5870.76172,15394.4297,775.699463,111.212242,59500.2891,"(249.4, 668.94, 1195.74, 1518.6, 2657.53, 5871.48, 10088.58, 5757.1, 4584.74, 4135.6, 3500.86, 3533.8, 2570.28, 4102.86, 5197.46, 4120.58)","(1586.72, 3258.01, 9166.1, 28689.12, 27470.07, 23533.89, 22704.31, 13798.56, 11299.59, 17240.03, 8872.51, 10450.45, 13515.93, 12632.64, 17048.64, 7784.38)","(3618.96, 3889.68, 6208.49, 13798, 19251.22, 36028.4, 16033.52, 21575.97, 16138.56, 9959.81, 6188.34, 9458.66, 11693.24, 10310.8)","(26367.84, 33228, 69496.07, 33729.59, 31232.34, 23027.8, 22579.74, 17539.98, 35819.74, 18337.66)","(2933.14, 5806.39, 4290.21, 5497.45, 7665.22, 30068.49, 62686.35, 28731.03)","(249.4, 668.94, 1195.74, 1518.6, 2657.53, 5871.48, 10088.58, 5757.1, 4584.74, 4135.6, 3500.86, 3533.8, 2570.28, 4102.86, 5197.46, 4120.58, 1586.72, 3258.01, 9166.1, 28689.12, 27470.07, 23533.89, 22704.31, 13798.56, 11299.59, 17240.03, 8872.51, 10450.45, 13515.93, 12632.64, 17048.64, 7784.38, 3618.96, 3889.68, 6208.49, 13798, 19251.22, 36028.4, 16033.52, 21575.97, 16138.56, 9959.81, 6188.34, 9458.66, 11693.24, 10310.8, 26367.84, 33228, 69496.07, 33729.59, 31232.34, 23027.8, 22579.74, 17539.98, 35819.74, 18337.66, 2933.14, 5806.39, 4290.21, 5497.45, 7665.22, 30068.49, 62686.35, 28731.03)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_12-20_CD3+.csv",NA,NA
"7",0.49629998,849426,1019497.13,1474386,1923622.5,597048,759528,2469.66602,2068.64307,1103.22864,1648.05469,1028.27576,27213.4277,643.429443,572.366821,999.329346,4125.2876,7992.28125,1810.04028,212.706451,1478.33032,275.314026,3146.55396,754.766846,2822.2168,633.451294,701.935608,183.341492,"(494.62, 898.72, 1204.55, 2268.14, 2496.87, 3027.39, 4984.62, 3161.86, 7019.51, 2967.36, 1314.44, 1262.82, 343.66, 288.22, 581.47, 640.3)","(5351.88, 5656.49, 5403.74, 3026.88, 4317.62, 2620.4, 3632.79, 28138.83, 17004.83, 15949.18, 5733.53, 3282.2, 2291.75, 1926.09, 2360.71, 885.15)","(4670.98, 4883.4, 10259.71, 8338.91, 5962.88, 3544.44, 2594.89, 3428.6, 1893.78, 1292.39, 721.2, 1116.33, 1481.88, 1625.39)","(17018.09, 8665.01, 5782.35, 4304.37, 3829.01, 3219.53, 2645.92, 2525.37, 3535.15, 2195.54)","(434.1, 1567.19, 899.81, 1530.44, 876.18, 1027.66, 941.37, 46.89)","(494.62, 898.72, 1204.55, 2268.14, 2496.87, 3027.39, 4984.62, 3161.86, 7019.51, 2967.36, 1314.44, 1262.82, 343.66, 288.22, 581.47, 640.3, 5351.88, 5656.49, 5403.74, 3026.88, 4317.62, 2620.4, 3632.79, 28138.83, 17004.83, 15949.18, 5733.53, 3282.2, 2291.75, 1926.09, 2360.71, 885.15, 4670.98, 4883.4, 10259.71, 8338.91, 5962.88, 3544.44, 2594.89, 3428.6, 1893.78, 1292.39, 721.2, 1116.33, 1481.88, 1625.39, 17018.09, 8665.01, 5782.35, 4304.37, 3829.01, 3219.53, 2645.92, 2525.37, 3535.15, 2195.54, 434.1, 1567.19, 899.81, 1530.44, 876.18, 1027.66, 941.37, 46.89)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_12-20_CD3+.csv",NA,NA
"8",0.50659996,461924,543180,1197314,1491458,291969,357593.906,1764.02795,316.67926,2824.82275,8476.6582,-731.63977,58412.5,-174.43274,2846.17065,1283.76111,1432.02856,4535.09863,888.771179,939.239868,-811.60211,-272.96048,1735.78186,1128.5271,4234.7417,1595.01123,-177.79007,66951.4766,"(460.53, 710.77, 1018.5, 1309.66, 2106.22, 3024.91, 4118.6, 2763.07, 12994.13, 4724, 1849.32, 698.69, 663.25, 1323.12, 4079.59, 3010.31)","(7332.34, 8088.96, 11013.41, 11064.95, 9503.82, 7419.32, 8190.17, 59319.79, 36073.05, 33321.27, 10443.73, 5914.81, 6017.11, 5829.17, 13620.51, 5654.68)","(1801.38, 2858.68, 5277.43, 8457.13, 5243.61, 3235.35, 2177.03, 1594.1, 1488.63, 1224.74, 1248.62, 1382.89, 3760.72, 3962.78)","(31218.98, 14331.5, 10955.28, 5494.16, 4098.56, 2932.81, 3606.46, 5882.16, 20015.31, 11545.16)","(3548.11, 3156.8, 2466.06, 2163.67, 5878.8, 30148.18, 68056.84, 31796.08)","(460.53, 710.77, 1018.5, 1309.66, 2106.22, 3024.91, 4118.6, 2763.07, 12994.13, 4724, 1849.32, 698.69, 663.25, 1323.12, 4079.59, 3010.31, 7332.34, 8088.96, 11013.41, 11064.95, 9503.82, 7419.32, 8190.17, 59319.79, 36073.05, 33321.27, 10443.73, 5914.81, 6017.11, 5829.17, 13620.51, 5654.68, 1801.38, 2858.68, 5277.43, 8457.13, 5243.61, 3235.35, 2177.03, 1594.1, 1488.63, 1224.74, 1248.62, 1382.89, 3760.72, 3962.78, 31218.98, 14331.5, 10955.28, 5494.16, 4098.56, 2932.81, 3606.46, 5882.16, 20015.31, 11545.16, 3548.11, 3156.8, 2466.06, 2163.67, 5878.8, 30148.18, 68056.84, 31796.08)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_12-20_CD3+.csv",NA,NA
"9",0.68039995,461423,519987.063,1271611,1582973.63,310112,368581.469,1473.25635,214.247742,2364.13623,4805.04492,909.402039,55505.8164,323.240051,3197.30371,761.562378,2917.68994,3437.14185,276.48175,24.5279694,-1442.9591,-139.42203,2393.19043,-195.77611,12023.9961,381.519348,356.184875,15248.7002,"(399.24, 27.53, 1081.15, 1337.38, 1846.33, 2447.69, 4128.91, 2439.85, 13003.36, 4492.96, 1197.05, 1142.8, 683.37, 785.73, 2342.62, 1359.68)","(6830.71, 7977.53, 8712.49, 7444.12, 7476.54, 4801.62, 7398.84, 56810.85, 33608.73, 31957.91, 10147.7, 5254.63, 5889.77, 4443.03, 6856.34, 3056.66)","(3647.36, 3412.93, 4666.57, 7387.24, 4621.71, 3090.95, 2023.65, 1284.65, 466.68, 277.67, 627.69, 3815.84, 5746.35, 6392.09)","(27518.39, 12406.65, 10038.28, 5520.53, 2884.55, 2448.89, 2270.27, 4290.17, 15513.72, 9288.99)","(1084.23, 714.4, 793.13, 1424.93, 2124.3, 7533.32, 16831.44, 7890.05)","(399.24, 27.53, 1081.15, 1337.38, 1846.33, 2447.69, 4128.91, 2439.85, 13003.36, 4492.96, 1197.05, 1142.8, 683.37, 785.73, 2342.62, 1359.68, 6830.71, 7977.53, 8712.49, 7444.12, 7476.54, 4801.62, 7398.84, 56810.85, 33608.73, 31957.91, 10147.7, 5254.63, 5889.77, 4443.03, 6856.34, 3056.66, 3647.36, 3412.93, 4666.57, 7387.24, 4621.71, 3090.95, 2023.65, 1284.65, 466.68, 277.67, 627.69, 3815.84, 5746.35, 6392.09, 27518.39, 12406.65, 10038.28, 5520.53, 2884.55, 2448.89, 2270.27, 4290.17, 15513.72, 9288.99, 1084.23, 714.4, 793.13, 1424.93, 2124.3, 7533.32, 16831.44, 7890.05)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_12-20_CD3+.csv",NA,NA
"10",0.80949998,997279,1210258.38,1082847,1442835.5,638576,816033.938,1668.87549,1984.36475,-264.51483,18917.9063,1623.80249,56092.7813,920.133667,10778.332,1725.35034,1490.96826,4882.24268,7650.63818,1814.58936,-1179.3939,1366.74756,746.440674,1234.77356,15617.6621,133.150726,647.739624,2.84629059,"(-293.18, 321.05, 931.92, 1441.62, 2097.86, 4271.22, 7159.86, 5065.82, 13868.81, 5295.59, 2776.92, 3268.91, 2715.58, 2586.18, 1727.16, 1955.39)","(8799.49, 8253.66, 12635.83, 21684.91, 21071.55, 16969.85, 19141.95, 62104.07, 40150.44, 37223.13, 14093.16, 11972.92, 16568.18, 11395.73, 11785.3, 5234.33)","(2808.88, 3621.65, 6640.83, 8923.18, 5272.03, 4555.21, 3055.53, 9217.67, 5976.73, 3190.46, 2506.47, 6077.22, 8804.11, 7680.33)","(30568, 15428.69, 11971.82, 5731.75, 9842.18, 4827.83, 6263.81, 7388.17, 17503.05, 9048.54)","(-9.92, 2634.99, 3668.57, 4660.97, 3119.8, 2660.73, 3337.35, 1497.48)","(-293.18, 321.05, 931.92, 1441.62, 2097.86, 4271.22, 7159.86, 5065.82, 13868.81, 5295.59, 2776.92, 3268.91, 2715.58, 2586.18, 1727.16, 1955.39, 8799.49, 8253.66, 12635.83, 21684.91, 21071.55, 16969.85, 19141.95, 62104.07, 40150.44, 37223.13, 14093.16, 11972.92, 16568.18, 11395.73, 11785.3, 5234.33, 2808.88, 3621.65, 6640.83, 8923.18, 5272.03, 4555.21, 3055.53, 9217.67, 5976.73, 3190.46, 2506.47, 6077.22, 8804.11, 7680.33, 30568, 15428.69, 11971.82, 5731.75, 9842.18, 4827.83, 6263.81, 7388.17, 17503.05, 9048.54, -9.92, 2634.99, 3668.57, 4660.97, 3119.8, 2660.73, 3337.35, 1497.48)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_12-20_CD3+.csv",NA,NA
